,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
68,RefactoringMiner,gr.uom.java.xmi.decomposition,ReplacementUtil,performReplacement#QString;QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
69,RefactoringMiner,gr.uom.java.xmi.decomposition,ReplacementUtil,performReplacement#QString;QString;QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
70,RefactoringMiner,gr.uom.java.xmi.decomposition,ReplacementUtil,sameCharsBeforeAfter#QString;QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
71,RefactoringMiner,gr.uom.java.xmi.decomposition,TryStatementObject,getVariableDeclarations#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
72,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,argumentsWithIdenticalMethodCalls#QSetQString;QSetQString;QSetQString;QSetQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
73,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,classInstanceCreationWithEverythingReplaced#QAbstractCodeFragment;QAbstractCodeFragment;QReplacementInfo;QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
74,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,commonConditional#QString;QString;QReplacementInfo,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
75,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,compareTo#QUMLOperationBodyMapper,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
76,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,compositeChildMatchingScore#QCompositeStatementObject;QCompositeStatementObject;QSetQAbstractCodeMapping;QListQUMLOperation;QListQUMLOperation,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
77,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,compositeChildMatchingScore#QTryStatementObject;QTryStatementObject;QSetQAbstractCodeMapping;QListQUMLOperation;QListQUMLOperation,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
78,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,containsMethodSignatureOfAnonymousClass#QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
79,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,createCompositeMapping#QCompositeStatementObject;QCompositeStatementObject;QMapQStringQString;D,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
80,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,createLeafMapping#QAbstractCodeFragment;QAbstractCodeFragment;QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
81,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,differOnlyInCastExpressionOrPrefixOperator#QString;QString;QReplacementInfo,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
82,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,equalAfterArgumentMerge#QString;QString;QReplacementInfo,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
83,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,equalAfterNewArgumentAdditions#QString;QString;QReplacementInfo,ExtractMethod,"EXTRACT_METHOD,EXTRACT_METHOD,EXTRACT_METHOD,PARAMETERIZE_VARIABLE",4,EXTRACT_METHOD,1
84,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,equals#QObject,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
