,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
59,RefactoringMiner,gr.uom.java.xmi.decomposition,Visitor,removeAnonymousData#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
60,RefactoringMiner,gr.uom.java.xmi.decomposition,Visitor,simpleNameOrNumberLiteral#QExpression,InlineMethod,NA,0,"INLINE_METHOD,INLINE_METHOD",2
61,RefactoringMiner,gr.uom.java.xmi.diff,AddAttributeAnnotationRefactoring,getAttributeAfter#,InlineMethod,NA,0,INLINE_METHOD,1
62,RefactoringMiner,gr.uom.java.xmi.diff,AddAttributeAnnotationRefactoring,getAttributeBefore#,InlineMethod,NA,0,INLINE_METHOD,1
63,RefactoringMiner,gr.uom.java.xmi.diff,AddMethodAnnotationRefactoring,getOperationAfter#,InlineMethod,NA,0,INLINE_METHOD,1
64,RefactoringMiner,gr.uom.java.xmi.diff,AddMethodAnnotationRefactoring,getOperationBefore#,InlineMethod,NA,0,INLINE_METHOD,1
65,RefactoringMiner,gr.uom.java.xmi.diff,ChangeAttributeTypeRefactoring,getClassNameAfter#,InlineMethod,NA,0,INLINE_METHOD,1
66,RefactoringMiner,gr.uom.java.xmi.diff,ChangeAttributeTypeRefactoring,getClassNameBefore#,InlineMethod,NA,0,INLINE_METHOD,1
67,RefactoringMiner,gr.uom.java.xmi.diff,ChangeReturnTypeRefactoring,getOperationAfter#,InlineMethod,NA,0,INLINE_METHOD,1
68,RefactoringMiner,gr.uom.java.xmi.diff,ChangeReturnTypeRefactoring,getOperationBefore#,InlineMethod,NA,0,INLINE_METHOD,1
69,RefactoringMiner,gr.uom.java.xmi.diff,ChangeVariableTypeRefactoring,getOperationAfter#,InlineMethod,NA,0,INLINE_METHOD,1
70,RefactoringMiner,gr.uom.java.xmi.diff,ChangeVariableTypeRefactoring,getOperationBefore#,InlineMethod,NA,0,INLINE_METHOD,1
71,RefactoringMiner,gr.uom.java.xmi.diff,CodeRange,computeRange#QSetQAbstractCodeFragment,InlineMethod,"MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD",4,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",4
72,RefactoringMiner,gr.uom.java.xmi.diff,CodeRange,encodeIntProperty#QStringBuilder;QString;I;Z,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
73,RefactoringMiner,gr.uom.java.xmi.diff,CodeRange,encodeStringProperty#QStringBuilder;QString;QString;Z,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
74,RefactoringMiner,gr.uom.java.xmi.diff,CodeRange,insertNewLine#QStringBuilder;Z,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,"INLINE_METHOD,INLINE_METHOD",2
75,RefactoringMiner,gr.uom.java.xmi.diff,CodeRange,subsumes#QCodeRange,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
76,RefactoringMiner,gr.uom.java.xmi.diff,ConvertAnonymousClassToTypeRefactoring,getAddedClass#,InlineMethod,NA,0,INLINE_METHOD,1
77,RefactoringMiner,gr.uom.java.xmi.diff,ConvertAnonymousClassToTypeRefactoring,getAnonymousClass#,InlineMethod,NA,0,INLINE_METHOD,1
78,RefactoringMiner,gr.uom.java.xmi.diff,ExtractAttributeRefactoring,getNextClass#,InlineMethod,NA,0,INLINE_METHOD,1
79,RefactoringMiner,gr.uom.java.xmi.diff,ExtractAttributeRefactoring,getOriginalClass#,InlineMethod,NA,0,INLINE_METHOD,1
80,RefactoringMiner,gr.uom.java.xmi.diff,ExtractOperationDetection,addStatementInvocations#QListQOperationInvocation;QStatementObject,InlineMethod,"INLINE_METHOD,MOVE_AND_INLINE_METHOD",2,"INLINE_METHOD,INLINE_METHOD",2
81,RefactoringMiner,gr.uom.java.xmi.diff,ExtractOperationDetection,getInvocationsInSourceOperationAfterExtraction#QUMLOperationBodyMapper,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE,MOVE_AND_INLINE_METHOD",3,"INLINE_METHOD,INLINE_METHOD",2
82,RefactoringMiner,gr.uom.java.xmi.diff,ExtractOperationDetection,processAddedOperation#QUMLOperationBodyMapper;QUMLOperation;QListQExtractOperationRefactoring;QListQOperationInvocation;QOperationInvocation,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
83,RefactoringMiner,gr.uom.java.xmi.diff,ExtractOperationRefactoring,getExtractedOperationCodeRange#,InlineMethod,NA,0,INLINE_METHOD,1
84,RefactoringMiner,gr.uom.java.xmi.diff,ExtractOperationRefactoring,getSourceOperationAfterExtraction#,InlineMethod,NA,0,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",3
85,RefactoringMiner,gr.uom.java.xmi.diff,ExtractOperationRefactoring,getSourceOperationCodeRangeAfterExtraction#,InlineMethod,NA,0,INLINE_METHOD,1
86,RefactoringMiner,gr.uom.java.xmi.diff,ExtractOperationRefactoring,getSourceOperationCodeRangeBeforeExtraction#,InlineMethod,NA,0,INLINE_METHOD,1
87,RefactoringMiner,gr.uom.java.xmi.diff,ExtractVariableRefactoring,getOperationBefore#,InlineMethod,NA,0,INLINE_METHOD,1
88,RefactoringMiner,gr.uom.java.xmi.diff,InheritanceDetection,addSubclassToSuperclass#QString;QString,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
89,RefactoringMiner,gr.uom.java.xmi.diff,InheritanceDetection,generateNewInheritanceHierarchies#QUMLModelDiff,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
90,RefactoringMiner,gr.uom.java.xmi.diff,InlineOperationDetection,getInvocationsInTargetOperationBeforeInline#QUMLOperationBodyMapper,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE",2,INLINE_METHOD,1
91,RefactoringMiner,gr.uom.java.xmi.diff,InlineOperationRefactoring,getClassName#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
92,RefactoringMiner,gr.uom.java.xmi.diff,InlineOperationRefactoring,getInlinedOperationCodeRange#,InlineMethod,NA,0,INLINE_METHOD,1
93,RefactoringMiner,gr.uom.java.xmi.diff,InlineOperationRefactoring,getTargetOperationBeforeInline#,InlineMethod,NA,0,"INLINE_METHOD,INLINE_METHOD",2
94,RefactoringMiner,gr.uom.java.xmi.diff,InlineOperationRefactoring,getTargetOperationCodeRangeAfterInline#,InlineMethod,NA,0,INLINE_METHOD,1
95,RefactoringMiner,gr.uom.java.xmi.diff,InlineOperationRefactoring,getTargetOperationCodeRangeBeforeInline#,InlineMethod,NA,0,INLINE_METHOD,1
96,RefactoringMiner,gr.uom.java.xmi.diff,InlineVariableRefactoring,getOperationAfter#,InlineMethod,NA,0,INLINE_METHOD,1
97,RefactoringMiner,gr.uom.java.xmi.diff,InlineVariableRefactoring,getOperationBefore#,InlineMethod,NA,0,INLINE_METHOD,1
98,RefactoringMiner,gr.uom.java.xmi.diff,MergeAttributeRefactoring,getClassNameAfter#,InlineMethod,NA,0,INLINE_METHOD,1
99,RefactoringMiner,gr.uom.java.xmi.diff,MergeAttributeRefactoring,getClassNameBefore#,InlineMethod,NA,0,INLINE_METHOD,1
100,RefactoringMiner,gr.uom.java.xmi.diff,ModifyAttributeAnnotationRefactoring,getAttributeAfter#,InlineMethod,NA,0,INLINE_METHOD,1
101,RefactoringMiner,gr.uom.java.xmi.diff,ModifyAttributeAnnotationRefactoring,getAttributeBefore#,InlineMethod,NA,0,INLINE_METHOD,1
102,RefactoringMiner,gr.uom.java.xmi.diff,ModifyMethodAnnotationRefactoring,getOperationAfter#,InlineMethod,NA,0,INLINE_METHOD,1
103,RefactoringMiner,gr.uom.java.xmi.diff,ModifyMethodAnnotationRefactoring,getOperationBefore#,InlineMethod,NA,0,INLINE_METHOD,1
104,RefactoringMiner,gr.uom.java.xmi.diff,MoveAndRenameClassRefactoring,getOriginalClass#,InlineMethod,NA,0,INLINE_METHOD,1
105,RefactoringMiner,gr.uom.java.xmi.diff,MoveAndRenameClassRefactoring,getRenamedClass#,InlineMethod,NA,0,INLINE_METHOD,1
106,RefactoringMiner,gr.uom.java.xmi.diff,MoveAttributeRefactoring,getOriginalAttribute#,InlineMethod,NA,0,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",6
107,RefactoringMiner,gr.uom.java.xmi.diff,RemoveAttributeAnnotationRefactoring,getAttributeAfter#,InlineMethod,NA,0,INLINE_METHOD,1
108,RefactoringMiner,gr.uom.java.xmi.diff,RemoveAttributeAnnotationRefactoring,getAttributeBefore#,InlineMethod,NA,0,INLINE_METHOD,1
