project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,WebEndpointAutoConfiguration,webEndpointPathMapper#,MoveMethod,NA,0,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,WebEndpointAutoConfiguration,webExposeExcludePropertyEndpointFilter#,MoveMethod,NA,0,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.endpoint.web,WebEndpointProperties,cleanBasePath#QString,MoveMethod,MOVE_METHOD,1,INTERNAL_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,InstrumentedSpecStore,getSpecs#QSpecSearchObject,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,InstrumentedSpecStore,getSpecsImpl#QSpecSearchObject,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,awaitForDone#J,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,awaitForState#QRunningState;J,MoveMethod,NA,0,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,awaitForStatePredicate#QPredicateQJobExecutionState;J,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,doRunningStateChange#QRunningState,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,getExecutionMetadata#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,getRunningState#,MoveMethod,NA,0,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,setStage#QString,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,switchToCancelled#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,switchToCommitted#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,switchToFailed#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,switchToPending#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,switchToRunning#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,switchToSuccessful#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.api,JobExecutionState,toString#,MoveMethod,NA,0,EXTRACT_MOVE_METHOD,1
